% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
4.966	1	1	497	7	1	14	1527	14	1527
4.967	1	1	497	8	1	14	1527	14	1527
4.981	1	1	499	2	1	14	1527	14	1527
4.982	1	1	499	3	1	14	1527	14	1527
4.996	1	1	500	7	1	14	1527	14	1527
4.997	1	1	500	8	1	14	1527	14	1527
5.011	1	1	502	2	1	14	1527	14	1527
5.012	1	1	502	3	1	14	1527	14	1527
5.026	1	1	503	7	1	14	1527	14	1527
5.027	1	1	503	8	1	14	1527	14	1527
5.028	1	1	503	9	1	14	1527	14	1527
5.035	1	1	504	6	1	0	0	14	1527
5.041	1	1	505	2	1	14	1527	14	1527
5.042	1	1	505	3	1	14	1527	14	1527
5.056	1	1	506	7	1	14	1527	14	1527
5.057	1	1	506	8	1	14	1527	14	1527
5.058	1	1	506	9	1	14	1527	14	1527
5.065	1	1	507	6	1	0	0	14	1527
5.071	1	1	508	2	1	14	1527	14	1527
5.072	1	1	508	3	1	14	1527	14	1527
5.073	1	1	508	4	1	14	1527	14	1527
5.08	1	1	509	1	1	0	0	14	1527
5.086	1	1	509	7	1	14	1527	14	1527
5.087	1	1	509	8	1	14	1527	14	1527
5.088	1	1	509	9	1	14	1527	14	1527
5.101	1	1	511	2	1	14	1527	14	1527
5.102	1	1	511	3	1	14	1527	14	1527
5.103	1	1	511	4	1	14	1527	14	1527
5.11	1	1	512	1	1	0	0	14	1527
5.116	1	1	512	7	1	14	1527	14	1527
5.117	1	1	512	8	1	14	1527	14	1527
5.118	1	1	512	9	1	14	1527	14	1527
5.131	1	1	514	2	1	14	1527	14	1527
5.132	1	1	514	3	1	14	1527	14	1527
5.133	1	1	514	4	1	14	1527	14	1527
5.146	1	1	515	7	1	14	1527	14	1527
5.147	1	1	515	8	1	14	1527	14	1527
5.148	1	1	515	9	1	14	1527	14	1527
5.161	1	1	517	2	1	14	1527	14	1527
5.162	1	1	517	3	1	14	1527	14	1527
5.163	1	1	517	4	1	14	1527	14	1527
5.176	1	1	518	7	1	14	1527	14	1527
5.177	1	1	518	8	1	14	1527	14	1527
5.178	1	1	518	9	1	14	1527	14	1527
